,CO,H2,CH4,C2H4,C2H6,C3H8,Xf_LFL,Xf_UFL,Xf_stoich,Su_stoich,LFL,UFL
122,0.1646,0.1135,0.2968,0.1694,0.2311,0.0245,,,,0.530380862477946,0.0494572,0.33682950000000006
123,0.1553,0.0089,0.3146,0.3447,0.1766,0.0,,,,0.5851219478723643,0.04761165,0.29522699999999996
124,0.0977,0.2,0.1585,0.1756,0.158,0.2102,,,,0.5618751416014933,0.040681199999999994,0.34031279999999997
125,0.0,0.162,0.2516,0.0,0.0,0.5864,,,,0.500861729966164,0.029864800000000004,0.22198880000000001
126,0.0932,0.3815,0.4004,0.0,0.0279,0.097,,,,0.5521858660155811,0.04693560000000001,0.43494720000000003
127,0.2188,0.0188,0.2936,0.2603,0.0448,0.1637,,,,0.5788614666238299,0.051866350000000006,0.32288510000000004
128,0.0,0.0,0.0,0.0,0.2711,0.7289,,,,0.47252231930492183,0.023439900000000003,0.1072353
129,0.0,0.4696,0.0,0.0,0.5304,0.0,,,,0.5068125334301506,0.034696,0.4179696
130,0.2272,0.0,0.2668,0.1912,0.1159,0.1989,,,,0.5349623616832082,0.0519151,0.3032989
131,0.0,0.0,0.3689,0.0,0.3074,0.3237,,,,0.4422272982923659,0.032251300000000004,0.1313109
132,0.0,0.0,0.2525,0.0,0.7475,0.0,,,,0.415193710658525,0.033535,0.1341
133,0.0,0.3097,0.1891,0.301,0.2003,0.0,,,,0.6458123434353361,0.034994899999999995,0.37421059999999995
134,0.1201,0.1223,0.2025,0.1512,0.2157,0.1882,,,,0.526378038071477,0.0427952,0.30400819999999995
135,0.0,0.1601,0.4241,0.0,0.4158,0.0,,,,0.43148558762340566,0.0375384,0.24118659999999997
136,0.0,0.0592,0.0,0.4821,0.2923,0.1665,,,,0.6070192241924425,0.02789125,0.2353423
137,0.4888,0.0,0.0,0.0863,0.3412,0.0836,,,,0.5005935216585576,0.07302085000000001,0.4420342
138,0.2268,0.3643,0.0888,0.266,0.0,0.0541,,,,0.8162074538252074,0.0541463,0.5394283
139,0.0,0.4344,0.0874,0.1318,0.3464,0.0,,,,0.5796548277630077,0.0352381,0.42078200000000004
140,0.2136,0.1838,0.1928,0.0918,0.2368,0.0812,,,,0.5249259463008265,0.0528009,0.39348840000000007
141,0.2436,0.0005,0.1304,0.276,0.2478,0.1016,,,,0.5577848195627542,0.0521472,0.32438540000000005
142,0.1608,0.0,0.2169,0.0,0.2467,0.3756,,,,0.460288519952462,0.0441282,0.22469799999999998
143,0.2671,0.1777,0.1315,0.0983,0.2072,0.1182,,,,0.5403497108650062,0.05634744999999999,0.4209108
144,0.232,0.0222,0.043,0.3971,0.1132,0.1924,,,,0.6280698721087806,0.04897665000000001,0.34474180000000004
145,0.0597,0.9403,0.0,0.0,0.0,0.0,,,,2.183215239553325,0.044775999999999996,0.7500000000000001
146,0.0173,0.0568,0.1732,0.2506,0.2454,0.2567,,,,0.534762424524734,0.031612999999999995,0.2120077
147,0.2226,0.1407,0.1345,0.0567,0.3014,0.144,,,,0.4963361351497999,0.051883250000000006,0.3626668
148,0.1827,0.3818,0.3427,0.0928,0.0,0.0,,,,0.6927711098073409,0.0548268,0.5061186
149,0.1474,0.1769,0.2537,0.0,0.2315,0.1906,,,,0.47719424430600865,0.0468744,0.33278839999999993
